number,line,unique_number,station_name,lat,lng,date
21,2,212,건대입구,37.540408,127.069231,1980-04-20
22,2,213,구의,37.536857,127.085024,1980-08-09
23,2,214,강변,37.535161,127.094684,1980-08-20
156,5,2545,군자,37.557102,127.079559,1996-02-01
157,5,2546,아차산,37.552005,127.089609,1996-02-01
158,5,2547,광나루,37.545301,127.103478,1996-02-15
232,7,2726,중곡,37.565877,127.084291,1996-11-30
233,7,2727,군자,37.557151,127.079484,1996-11-30
234,7,2728,어린이대공원,37.547962,127.07465,1996-11-30
235,7,2729,건대입구,37.540882,127.071103,1997-02-28
